Литовское слово,Английский,Русский
actas,vinegar,уксус
agurkas,cucumber,огурец
aikštė,square,площадь
aliejus,oil,масло
"alkanas, -a",hungry,голодный
"antradienis, -io",Tuesday,вторник
"anūkas, -ė","grandson, granddaughter","внук, внучка"
arbata,tea,чай
arti,near,близко
"aštrus, -i","spicy, hot","острый, пряный"
"aukštas, -a",tall,высокий
avietės,raspberries,малина
baklažanas,aubergine,баклажан
"baltas, -a",white,белый
bandelė,roll,булочка
bažnyčia,church,церковь
"bendrabutis, -io",dormitory,общежитие
berniukas,boy,мальчик
bet,but,но
blynai,pancakes,блины
"blynelis, -io",crepe,блинчик
blogai,bad,плохо
braškės,strawberries,клубника
brolis,brother,брат
bulvė,potato,картофель
"burokėlis, -io",beetroot,свёкла
butas,apartment,квартира
"būti, yra, buvo",be,быть
cukinija,courgette,кабачок
cukrus,sugar,сахар
česnakas,garlic,чеснок
čia,here,здесь
darbas,work,работа
"daryti, daro, darė ką?","do, make","делать, создавать"
daržovės,vegetables,овощи
dažnai,often,часто
dėdė,uncle,дядя
dešra,sausage,колбаса
dešrelės,sausages,сосиски
"dėstytojas, -a",university teacher,преподаватель
"didelis, -ė",big,большой
diena,day,день
"dirbti, dirba, dirbo",work,работать
"draugas, -ė",friend,друг
"draugiškas, -a",friendly,дружелюбный
druska,salt,соль
duktė,daughter,дочь
dukterėčia,niece,племянница
duona,bread,хлеб
"duoti, duoda, davė ką?, ko?",give,давать
"eiti, eina, ėjo",go (on foot),идти
ežeras,lake,озеро
"gabaliukas; gabalėlis, -io",piece,кусочек
garstyčios,mustard,горчица
gatvė,street,улица
"geltonas, -a",yellow,жёлтый
gerai,"fine, good","хорошо, отлично"
"geras, -a","kind, good","добрый, хороший"
"gerti, geria, gėrė ką?, ko?",drink,пить
gėrimas,drink,напиток
giminės,relatives,родственники
gira,"kind of sour drink, kvass",квас
"gyventi, gyvena, gyveno",live,жить
"gražus, -i","beautiful, handsome, pretty","красивый, симпатичный"
grietinė,sour cream,сметана
"įdėti, įdeda, įdėjo ką?, ko?",put,положить
"įdomus, -i",interesting,интересный
"imti, ima, ėmė ką?, ko?",take,брать
"įpilti, įpila, įpylė ko?",pour,налить
ir,and,и
